title,description,image_url,price,location,country,category
"Cozy Mountain Cabin","A beautiful cabin in the woods perfect for a weekend getaway.","https://images.unsplash.com/photo-1510798831971-661eb04b3739?w=800&q=80",15000,"Aspen","USA","Mountains"
"Beachfront Villa","Wake up to the sound of waves in this luxurious villa.","https://images.unsplash.com/photo-1499793983690-e29da59ef1c2?w=800&q=80",35000,"Bali","Indonesia","Beach"
"Modern City Loft","Stay in the heart of the city with amazing skyline views.","https://images.unsplash.com/photo-1502672260266-1c1e52409818?w=800&q=80",20000,"New York","USA","Trending"
"Historic Castle Stay","Experience royalty in this 16th century restored castle.","https://images.unsplash.com/photo-1533604138612-4299b922dbbc?w=800&q=80",50000,"Edinburgh","UK","Castles"
"Tropical Treehouse","Disconnect from the world in this magical treehouse.","https://images.unsplash.com/photo-1520250497591-112f2f40a3f4?w=800&q=80",12000,"Tulum","Mexico","Tropical"
"Zostel Manali","A vibrant backpacker hostel offering panoramic views of the Himalayas.","https://images.unsplash.com/photo-1542152843-02e08a54117b?w=800&q=80",800,"Manali","India","Mountains"
"Moustache Jaipur","Experience the rich Rajasthani culture at this colourful hostel in the Pink City.","https://images.unsplash.com/photo-1522708323590-d24dbb6b0267?w=800&q=80",600,"Jaipur","India","Iconic Cities"
"The Hosteller Delhi","Located in the heart of South Delhi, perfect for solo travelers and groups.","https://images.unsplash.com/photo-1502672260266-1c1e52409818?w=800&q=80",700,"New Delhi","India","Iconic Cities"
"Zostel Goa","Laid-back vibes, lush green gardens, and minutes away from the beach.","https://images.unsplash.com/photo-1499793983690-e29da59ef1c2?w=800&q=80",900,"Goa","India","Beach"
"goStops Agra","Just a few minutes away from the Taj Mahal with amazing rooftop views.","https://images.unsplash.com/photo-1533604138612-4299b922dbbc?w=800&q=80",650,"Agra","India","Iconic Cities"
"Madpackers Pushkar","A lively hostel offering a beautiful view of the Aravali ranges.","https://images.unsplash.com/photo-1505691938895-1758d7feb511?w=800&q=80",500,"Pushkar","India","Rooms"
"Zostel Rishikesh","Stay near the Ganges in the yoga capital of the world.","https://images.unsplash.com/photo-1523987355523-c7b5b0dd90a7?w=800&q=80",750,"Rishikesh","India","Camping"
"The Hosteller Kasol","Your basecamp for Himalayan treks in the Parvati Valley.","https://images.unsplash.com/photo-1510798831971-661eb04b3739?w=800&q=80",800,"Kasol","India","Mountains"
"Woke Hostel Arpora","A vintage Portuguese house turned hostel with a beautiful pool.","https://images.unsplash.com/photo-1512917774080-9991f1c4c750?w=800&q=80",1100,"Goa","India","Amazing Pools"
"Zostel Udaipur","Overlooking the tranquil Swaroop Sagar Lake in the City of Lakes.","https://images.unsplash.com/photo-1580587771525-78b9dba3b46a?w=800&q=80",850,"Udaipur","India","Iconic Cities"
"Zostel Ooty","Nestled amidst the lush green Nilgiri hills.","https://images.unsplash.com/photo-1449844908441-8829872d2607?w=800&q=80",900,"Ooty","India","Mountains"
"Backpacker Panda Colaba","Explore Mumbai from this perfectly located backpacker hub.","https://images.unsplash.com/photo-1502672260266-1c1e52409818?w=800&q=80",1000,"Mumbai","India","Iconic Cities"
"Zostel Jaisalmer","Stay in the Golden City and experience desert camping.","https://images.unsplash.com/photo-1523987355523-c7b5b0dd90a7?w=800&q=80",700,"Jaisalmer","India","Camping"
"The Hosteller Bir","Perfect place for paragliders and adventure enthusiasts.","https://images.unsplash.com/photo-1542152843-02e08a54117b?w=800&q=80",850,"Bir Billing","India","Mountains"
"Zostel Varkala","Perched on a cliff with breathtaking views of the Arabian Sea.","https://images.unsplash.com/photo-1499793983690-e29da59ef1c2?w=800&q=80",950,"Varkala","India","Beach"
"The Mudhouse Marayoor","An eco-friendly stay offering an authentic experience.","https://images.unsplash.com/photo-1533575850965-0a1876a445d0?w=800&q=80",1500,"Marayoor","India","Farms"
"Gypsy's Hostel Varanasi","Experience the spiritual energy of Kashi with backpackers worldwide.","https://images.unsplash.com/photo-1511843206497-759082f4d1c4?w=800&q=80",500,"Varanasi","India","Iconic Cities"
"GoStops Munnar","Wake up to the view of sprawling tea gardens.","https://images.unsplash.com/photo-1510798831971-661eb04b3739?w=800&q=80",800,"Munnar","India","Mountains"
"Shalom Backpackers McLeod Ganj","A calm hideout near the Dalai Lama temple.","https://images.unsplash.com/photo-1505691938895-1758d7feb511?w=800&q=80",600,"McLeod Ganj","India","Rooms"
"Hornbill Trekkers Hostel","Gateway to the living root bridges of Meghalaya.","https://images.unsplash.com/photo-1520250497591-112f2f40a3f4?w=800&q=80",700,"Shillong","India","Mountains"
